"Technique ID","Investigation ID","Technique Type","Technique Name","Technique Category","Data Source","Data Source Detail","Technique Duration","Technique Proportion","Technique Sequence","Explanation","Explanation Location","Explanation Detail","Software Named","Software Detail","Limitations","Limitations Detail","Visual Quality","Interactive Element","Interactive Type","Temporal Element","Spatial Element","Rhetorical Function","Confidence","Additional Notes"
"INV010_T01","INV010","1.6","Drone Footage","1","Archival","","55","0.047","1","","","","","","","","Low","","None","Animated","Single Frame","Evidence","Not Stated",""
"INV010_T02","INV010","2.13","Social Media Evidence","2","Archival","","80","0.069","2","","","","","","","","High","","None","Static","Overlay","Evidence","Not Stated",""
"INV010_T03","INV010","2.3","Satellite Imagery (Annotated)","2","Multiple","","10","0.009","3","","","","","","","","Medium","","None","Animated","Overlay","Verification","Not Stated",""
"INV010_T04","INV010","1.1","Witness Video","1","Witness Video","","135","0.115","4","","","","","","","","Mixed","","None","Animated","Single Frame","Evidence","Not Stated",""
"INV010_T05","INV010","2.1","Geolocation Mapping","2","Satellite","","95","0.082","5","","","","","","","","High","","None","Animated","2D Map","Explanation","Not Stated",""
"INV010_T06","INV010","3.2","Geolocated Photographs","3","Multiple","","90","0.077","6","","","","","","","","Mixed","","None","Time-lapse","2D Map","Verification","Not Stated",""
"INV010_T07","INV010","2.7","Statistical Mapping","2","Generated","","90","0.077","7","","","","","","","","High","","None","Static","Single Frame","Illustration","Not Stated",""
"INV010_T08","INV010","3.9","Annotated Drone Footage","3","Multiple","","85","0.073","8","","","","","","","","Mixed","","None","Animated","Overlay","Verification","Not Stated",""
"INV010_T09","INV010","2.2","3D Architectural Reconstruction","2","Generated","","30","0.026","9","","","","","","","","High","","None","Animated","3D Model","Illustration","Not Stated",""
"INV010_T10","INV010","3.6","3D Model Embedded Photography","3","Multiple","","20","0.017","10","","","","","","","","Mixed","","None","Synchronised","3D Model","Illustration","Not Stated",""
"INV010_T11","INV010","1.8","Investigation Video","1","Witness Video","","270","0.232","11","","","","","","","","High","","None","Animated","Single Frame","Explanation","Not Stated",""
"INV010_T12","INV010","1.7","Photographic still (original)","1","Archival","","60","0.052","12","","","","","","","","Mixed","","None","Static","Single Frame","Evidence","Not Stated",""
"INV010_T13","INV010","2.14","Annotated Web Content","2","Archival","","25","0.021","13","","","","","","","","High","","None","Animated","Overlay","Explanation","Not Stated",""
"INV010_T14","INV010","3.8","Annotated Documentation","3","Archival","","85","0.073","14","","","","","","","","High","","None","Animated","Overlay","Explanation","Not Stated",""
"INV010_T15","INV010","1.4","CCTV Footage","1","Witness Video","","10","0.009","15","","","","","","","","Medium","","None","Animated","Single Frame","Evidence","Not Stated",""
"INV010_T16","INV010","1.3","Archival Photography","1","Archival","","25","0.021","16","","","","","","","","Medium","","None","Static","Single Frame","Evidence","Not Stated",""
"INV011_T01","INV011","3.1","Annotated Witness Video","3","Multiple","","345","0.289","1","","Not Explained","","","","","","Mixed","","None","Animated","Overlay","Explanation","Not Stated",""
"INV011_T02","INV011","2.2","3D Architectural Reconstruction","2","Generated","","35","0.029","2","","Not Explained","","","","","","High","","None","Animated","3D Model","Illustration","Not Stated",""
"INV011_T03","INV011","3.6","3D Model Embedded Photography","3","Multiple","","125","0.105","3","","Not Explained","","","","","","Mixed","","None","Animated","Overlay","Verification","Not Stated",""
